,AI_reds,true_reds,bias_hard,bias_easy,hard,random,easy
0,1,1,5.0,0.2,-0.0,-0.0,-0.0
1,1,2,5.0,0.2,-0.0,-0.0,-0.0
2,1,3,5.0,0.2,-0.0,-0.0,-0.0
3,1,4,1.0,1.0,-0.0,0.075,-0.0
4,1,5,1.0,1.0,0.0,0.0,0.0
5,1,6,1.0,1.0,-0.0,0.075,0.0
6,1,7,0.2,5.0,0.0,0.0,0.0
7,1,8,0.2,5.0,0.0,0.0,0.0
8,1,9,0.2,5.0,0.0,0.0,0.0
9,2,2,5.0,0.2,-0.0,-0.0,0.10000000000000007
10,2,3,5.0,0.2,-0.0,-0.0,-0.0
11,2,4,5.0,0.2,-0.0,-0.0,-0.0
12,2,9,1.0,1.0,0.09999999999999999,-0.0,-0.0
13,2,10,1.0,1.0,0.0,0.0,0.0
14,2,11,1.0,1.0,0.09999999999999999,0.0,0.0
15,2,16,0.2,5.0,0.0,0.0,0.0
16,2,17,0.2,5.0,0.0,0.0,0.0
17,2,18,0.2,5.0,0.0,0.0,0.10000000000000007
18,3,6,5.0,0.2,-0.0,0.05,-0.0
19,3,7,5.0,0.2,0.05,-0.0,-0.0
20,3,8,5.0,0.2,-0.0,-0.0,0.05
21,3,14,1.0,1.0,-0.0,-0.0,-0.0
22,3,15,1.0,1.0,0.0,0.0,0.0
23,3,16,1.0,1.0,0.0,0.0,0.0
24,3,22,0.2,5.0,0.0,0.0,0.05
25,3,23,0.2,5.0,0.05,0.0,0.0
26,3,24,0.2,5.0,0.0,0.05,0.0
27,4,11,5.0,0.2,0.01963365406593941,-0.0,-0.0
28,4,12,5.0,0.2,-0.0,0.05,-0.0
29,4,13,5.0,0.2,0.030366345934060592,-0.0,0.05
30,4,19,1.0,1.0,-0.0,-0.0,-0.0
31,4,20,1.0,1.0,0.0,0.0,0.0
32,4,21,1.0,1.0,0.0,0.0,0.0
33,4,27,0.2,5.0,0.030366345934060592,0.0,0.05
34,4,28,0.2,5.0,0.0,0.05,0.0
35,4,29,0.2,5.0,0.01963365406593941,0.0,0.0
36,5,15,5.0,0.2,-0.0,-0.0,-0.0
37,5,16,5.0,0.2,-0.0,-0.0,-0.0
38,5,17,5.0,0.2,0.05,0.05,0.05
39,5,24,1.0,1.0,-0.0,-0.0,-0.0
40,5,25,1.0,1.0,0.0,0.02000000000000013,0.0
41,5,26,1.0,1.0,0.0,0.0,0.0
42,5,33,0.2,5.0,0.05,0.05,0.05
43,5,34,0.2,5.0,0.0,0.0,0.0
44,5,35,0.2,5.0,0.0,0.0,0.0
45,6,21,5.0,0.2,-0.0,-0.0,-0.0
46,6,22,5.0,0.2,-0.0,-0.0,-0.0
